"country_id","country_name","country_name_es","continent","rank_by_continent","rank_all","population","confirmed","death","recovered"
afghanistan,Afghanistan,Afganistán,Asia,24,70,38928341,56854,1733,6657
albania,Albania,Albania,Europe,40,94,2877800,25233,1098,13241
algeria,Algeria,Argelia,Africa,4,56,43851043,117651,13766,43891
andorra,Andorra,Andorra,Europe,39,90,43851043,28636,1366,10189
angola,Angola,Angola,Africa,42,154,32866268,978,84,229
antigua_and_barbuda,Antigua and Barbuda,Antigua y Barbuda,North America,16,155,97928,903,89,264
argentina,Argentina,Argentina,South America,6,53,45195777,131798,6058,33790
armenia,Armenia,Armenia,Europe,28,66,2963234,64413,888,22330
australia,Australia,Australia,Oceania,1,38,25499881,285936,2903,142885
austria,Austria,Austria,Europe,10,20,9006400,643063,17724,365901
azerbaijan,Azerbaijan,Azerbaiyán,Europe,31,72,10139175,55894,705,29717
bahamas,Bahamas,Bahamas,North America,14,141,393248,2458,336,529
bahrain,Bahrain,Baréin,Asia,20,60,1701583,90707,303,42259
bangladesh,Bangladesh,Bangladesh,Asia,17,48,164689383,169432,3894,14044
barbados,Barbados,Barbados,North America,13,138,287371,3060,185,954
belarus,Belarus,Bielorrusia,Europe,17,37,9449321,315389,2141,55523
belgium,Belgium,Bélgica,Europe,6,13,11589616,1538687,208917,339598
belize,Belize,Belice,North America,20,162,397621,591,64,190
benin,Benin,Benín,Africa,34,142,12123198,2428,43,940
bhutan,Bhutan,Bután,Asia,40,172,771612,276,0,118
bolivia,Bolivia,Bolivia,South America,7,88,11673029,30164,1618,2476
bosnia_and_herzegovina,Bosnia and Herzegovina,Bosnia y Herzegovina,Europe,32,74,3280815,53737,2070,17153
brazil,Brazil,Brasil,South America,1,11,212559409,2126654,139597,830342
brunei,Brunei,Brunei,Asia,33,123,,7029,43,4403
bulgaria,Bulgaria,Bulgaria,Europe,35,80,6948445,44833,1895,6761
burkina_faso,Burkina Faso,Burkina Faso,Africa,13,97,20903278,23384,1424,12883
cabo_verde,Cabo Verde,Cabo Verde,Africa,32,137,,3141,55,337
cambodia,Cambodia,Camboya,Asia,34,126,16718971,5935,0,3813
cameroon,Cameroon,Camerún,Africa,6,76,26545864,50687,1552,17945
canada,Canada,Canadá,North America,2,12,37742157,1545750,78584,542571
central_african_republic,Central African Republic,República Centroafricana,Africa,40,151,4829764,1337,0,221
chad,Chad,Chad,Africa,35,144,16425859,2369,161,586
chile,Chile,Chile,South America,4,26,19116209,479551,5761,205053
china,China,China,Asia,1,4,1439323774,7404577,304676,5427829
colombia,Colombia,Colombia,South America,5,47,50882884,183383,7692,34888
congo_(brazzaville),Congo (Brazzaville),Congo (Brazzaville),Africa,25,127,5518092,5737,244,546
congo_(kinshasa),Congo (Kinshasa),Congo (Kinshasa),Africa,15,107,5518092,15986,1014,1630
costa_rica,Costa Rica,Costa Rica,North America,7,91,5094114,27618,200,7219
cote_divoire,Cote d'Ivoire,Costa de Marfil,Africa,8,83,26378275,35118,387,12498
croatia,Croatia,Croacia,Europe,27,64,4105268,75116,1816,31767
cuba,Cuba,Cuba,North America,6,82,11326616,41522,1515,15042
cyprus,Cyprus,Chipre,Europe,38,89,1207361,29834,532,5635
czechia,Czechia,Chequia,Europe,18,40,,281180,7010,71871
denmark,Denmark,Dinamarca,Europe,15,33,5792203,325591,14114,174334
djibouti,Djibouti,Djibouti,Africa,11,92,988002,26492,63,11376
dominica,Dominica,Dominica,North America,17,158,988002,685,0,318
dominican_republic,Dominican Republic,República Dominicana,North America,4,45,10847904,198261,8939,28231
east_timor,East Timor,Timor del Este,Asia,41,174,,0,0,0
ecuador,Ecuador,Ecuador,South America,3,22,17643060,608671,26813,51466
egypt,Egypt,Egipto,Africa,2,51,102334403,155630,10450,37277
el_salvador,El Salvador,El Salvador,North America,10,116,6486201,10832,301,2989
equatorial_guinea,Equatorial Guinea,Guinea Ecuatorial,Africa,24,125,1402985,6328,34,245
eritrea,Eritrea,Eritrea,Africa,39,149,3546427,1443,0,409
